filepath,entropy,magic_mismatch,is_executable,file_size,modification_hour,size_zscore,anomaly_score,is_anomaly
/etc/postfix/relocated,4.314862039979064,0,0,6929,8,-0.12976215948894715,0.23199451918671055,0
/etc/postfix/custom_header_checks,4.416833823616225,0,0,44,8,-0.19964736506477637,0.257853422417908,0
/etc/postfix/main.cf,4.873731394025062,0,0,27340,8,1.0,0.15869673845236204,0
/etc/postfix/virtual,4.252316525874721,0,0,12823,8,-0.06993595735910871,0.21463324414523471,0
/etc/postfix/header_checks,4.185546028920294,0,0,23802,8,0.041504808365950004,0.16125185247755786,0
/etc/postfix/bounce.cf.default,4.7295566052804086,0,0,3547,8,-0.4597685706480259,0.23894724816226048,0
/etc/postfix/master.cf.proto,4.1363451848053305,0,0,6230,8,-1.0,0.11174027903693312,0
/etc/postfix/TLS_LICENSE,5.166029988054195,0,0,1629,8,-0.1835590497651846,0.251062930169742,0
/etc/postfix/generic,4.322163481781043,0,0,10221,8,-0.09634718537774455,0.22935161773998586,0
/etc/postfix/master.cf,4.242938244641202,0,0,7443,8,-1.0,0.11563923386737457,0
/etc/postfix/aliases,4.28136476861784,0,0,10086,8,-0.09771748352629021,0.2253803067716546,0
/etc/postfix/postfix-files,5.108780656700651,0,0,20330,8,0.006262770056686513,0.21552948227551127,0
/etc/pf.anchors/com.apple,4.658219622942401,0,0,329,8,0.0,0.2564887590650048,0
/etc/openldap/AppleOpenLDAP.plist,4.455102274217295,0,0,116915,8,1.0,0.00011880903868488613,0
/etc/openldap/ldap.conf,5.204585626355836,0,0,265,8,-0.5718879848955518,0.22193349608172225,0
/etc/openldap/ldap.conf.default,5.204585626355836,0,0,265,8,-0.8491665532091393,0.18187229959032858,0
/etc/wfs/httpd_webdavsharing_proxy.conf.inactive,5.462879105607529,0,0,624,8,0.0,0.21633347251688528,0
/etc/wfs/httpd_webdavsharing.conf,5.292749542089098,0,0,3335,8,0.07296721667558877,0.23239722483958264,0
/etc/wfs/wfs.plist,5.0532789019820985,0,0,943,8,-1.0,0.15918382379724594,0
/etc/wfs/httpd_webdavsharing_template.conf,5.331308484376843,0,0,3428,8,0.09250191822155492,0.22793114375350704,0
/etc/cups/cupsd.conf,4.934525843785059,0,0,6634,3,0.7659239951717428,0.17518217962711896,0
/etc/cups/snmp.conf.default,4.5331655071956405,0,0,128,8,-0.8654211307871016,0.187051320196644,0
/etc/cups/cups-files.conf.default,4.721884485985521,0,0,3147,8,-0.5072271913136095,0.23399557596782383,0
/etc/cups/cupsd.conf.default,4.933508931425199,0,0,6612,8,-0.09611688979799167,0.2512853402517071,0
/etc/cups/cups-files.conf,4.721884485985521,0,0,3147,8,0.03347771247514107,0.25063594290135294,0
/etc/cups/snmp.conf,4.5331655071956405,0,0,128,8,-0.6006649108288569,0.2338713766343693,0
/etc/uucp/sys,4.5944005479761705,0,0,2422,8,-0.17550981693706078,0.2559816688400874,0
/etc/uucp/port,4.428160961674566,0,0,141,8,-0.19866278046915467,0.2592844648586579,0
/etc/uucp/passwd,4.364165159596528,0,0,133,8,-0.19874398332240184,0.25747192504893035,0
/etc/cups/ppd/Brother_DCP_J105.ppd,5.42808220663892,0,0,10140,14,0.0,0.21399622315574457,0
/etc/openldap/schema/corba.schema,4.94914243273087,0,0,8063,8,-0.4196703524799987,0.23484042036154307,0
